Please name one charity you have given to in the last five years.,"Do you wish to give to [QID165-ChoiceTextEntryValue]? If you do, we will donate an amount you specify from your payment on your behalf.",give_ind,How much do you wish to give?,amount,Why did you choose to give?,Why did you choose not to give?,Do you wish to give to another charity?,I feel [QID165-ChoiceTextEntryValue] is grateful.,grateful_num,I feel [QID165-ChoiceTextEntryValue] is greedy.,greedy_num,recency,frequency,loyalty,"How much did you give each year, on average, to [QID165-ChoiceTextEntryValue]?",monetary,What is your gender?,What is your age?,What is your annual income?,"What is the highest degree or level of school you have completed? If currently enrolled, highest degree received.",condition
My local mutual aid group,No,0,NA,0,NA,I'm currently strapped for cash right now (I've just been furloughed from my workplace),No,Neither agree nor disagree,3,Strongly disagree,1,2021,4,loyal,100,100,Female,25 - 34,"Less than $10,000",4 year degree,Treatment
st. Judes,Yes,1,0.1,0.1,I love what they do,NA,NA,Agree,4,Disagree,2,2020,4,nonloyal,200,200,Male,35 - 44,"$100,000 - $149,999",Professional degree,Treatment
Cleveland Food Bank,Yes,1,0.3,0.3,It helps them feed the underprivileged,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,25,25,Female,55 - 64,"$20,000 - $29,999",Some college,Treatment
ASPCA,No,0,NA,0,NA,Because it would not be an amount worthy of donating,No,Strongly agree,5,Strongly disagree,1,2019,1,nonloyal,100,100,Female,35 - 44,"$20,000 - $29,999",4 year degree,Control
Constellation Cat Cafe,No,0,NA,0,NA,It's a local place that helps cats get adopted and they don't have a lot of resources. I don't think processing such a small donation is worth it for them.,No,Strongly agree,5,Strongly disagree,1,2020,3,nonloyal,40,40,Female,35 - 44,"$40,000 - $49,999",2 year degree,Control
Friends of the Library,Yes,1,0.5,0.5,I usually give them some extra once I get my tax return back. They'll probably make better use of that $0.50 than I will.,NA,NA,Agree,4,Disagree,2,2021,1,nonloyal,75,75,Female,18 - 24,"$70,000 - $79,999",4 year degree,Control
Doctors Without Borders,Yes,1,0.2,0.2,Because it is needed.,NA,NA,Agree,4,Disagree,2,2019,2,nonloyal,25,25,Male,35 - 44,"$40,000 - $49,999",4 year degree,Treatment
World Vision,No,0,NA,0,NA,Cannot afford much at this time.,No,Agree,4,Disagree,2,2020,1,nonloyal,60,60,Female,65 - 74,"$10,000 - $19,999",Some college,Control
Doctors Without Borders,Yes,1,0.1,0.1,Becuse it is the right thing to do and there are people than need more help than me.,NA,NA,Agree,4,Strongly disagree,1,2019,5,nonloyal,25,25,Female,25 - 34,"$30,000 - $39,999",4 year degree,Control
ASPCA,Yes,1,0.5,0.5,I think animals need to be taken care of and this charity works hard to protect the animals that humans so often neglect.,NA,NA,Agree,4,Disagree,2,2021,1,nonloyal,200,200,Female,25 - 34,"$70,000 - $79,999",4 year degree,Treatment
St. Jude,No,0,NA,0,NA,I will donate to them directly.,No,Agree,4,Disagree,2,2021,2,nonloyal,100,100,Female,35 - 44,"$30,000 - $39,999",Some college,Treatment
Jehovah‚Äôs Witnesses Organization,Yes,1,0.5,0.5,My heart wanted to,NA,NA,Strongly agree,5,Strongly disagree,1,2021,2,nonloyal,220,220,Female,35 - 44,"Less than $10,000",Some college,Control
Ernesto's Sanctuary,Yes,1,0.3,0.3,Why not? I wouldn't be getting that much anyway,NA,NA,Agree,4,Strongly disagree,1,2021,2,nonloyal,50,50,Female,35 - 44,"$30,000 - $39,999",4 year degree,Control
Planned Parenthood,No,0,NA,0,NA,I am financially tight at the moment.,No,Agree,4,Disagree,2,2021,3,loyal,25,25,Female,25 - 34,"$30,000 - $39,999",Professional degree,Control
Extra Life,Yes,1,0.1,0.1,"I like extra life, it really connects with me.",NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,100,100,Male,25 - 34,"$30,000 - $39,999",4 year degree,Control
food bank,Yes,1,0.5,0.5,right thing to do,NA,NA,Neither agree nor disagree,3,Neither agree nor disagree,3,2021,2,nonloyal,100,100,Male,35 - 44,"$50,000 - $59,999",4 year degree,Treatment
Wilderness Volunteers,No,0,NA,0,NA,Because I don't want any money deducted from my payment,No,Strongly agree,5,Strongly disagree,1,2020,1,nonloyal,5000,5000,Female,45 - 54,"$80,000 - $89,999",4 year degree,Control
School,Yes,1,0.3,0.3,Because my child studies there,NA,NA,Agree,4,Disagree,2,2021,5,loyal,200,200,Female,45 - 54,"$50,000 - $59,999",Professional degree,Treatment
Make A Wish,Yes,1,0.3,0.3,The note seemed very nice,NA,NA,Agree,4,Strongly disagree,1,2021,2,nonloyal,20,20,Female,25 - 34,"$80,000 - $89,999",4 year degree,Treatment
st jude's,Yes,1,0.5,0.5,50,NA,NA,Strongly agree,5,Strongly disagree,1,2020,3,nonloyal,100,100,Female,55 - 64,"$60,000 - $69,999",Professional degree,Control
NAACP LDF,No,0,NA,0,NA,Already gave,No,Agree,4,Disagree,2,2021,1,nonloyal,50,50,Male,35 - 44,"$30,000 - $39,999",Some college,Treatment
GiveDirectly,No,0,NA,0,NA,Have already donated in the past,No,Strongly agree,5,Strongly disagree,1,2020,1,nonloyal,200,200,Female,25 - 34,"$30,000 - $39,999",4 year degree,Treatment
Habitat for Humanity,No,0,NA,0,NA,I thought that the letter was a bit pushy. I just did not feel good about the company as a whole after reading the letter.,No,Strongly disagree,1,Strongly agree,5,2021,3,loyal,200,200,Female,35 - 44,"$10,000 - $19,999",Some college,Treatment
Salvation Army,Yes,1,0.5,0.5,Others need more than myself,NA,NA,Agree,4,Disagree,2,2020,4,nonloyal,100,100,Female,45 - 54,"$50,000 - $59,999",2 year degree,Treatment
ASPCA,Yes,1,0.5,0.5,Because I have been meaning to give again and haven't yet.,NA,NA,Agree,4,Strongly disagree,1,2021,3,loyal,50,50,Female,25 - 34,"$20,000 - $29,999",Professional degree,Treatment
American Cancer Society,Yes,1,0.5,0.5,I really believe in the ACS' mission and it is a cause that is close to my heart.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,250,250,Female,35 - 44,"More than $150,000",4 year degree,Treatment
Modest Needs,Yes,1,0.5,0.5,Modest Needs gives all donated money to the people who need help. There is no large overhead that sucks up donations.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,3,loyal,50,50,Female,25 - 34,"$40,000 - $49,999",4 year degree,Treatment
Humane Society,Yes,1,0.1,0.1,Because I care about the animals they help.,NA,NA,Agree,4,Strongly disagree,1,2021,1,nonloyal,25,25,Female,25 - 34,"$50,000 - $59,999",Doctorate,Control
ASPCA,No,0,NA,0,NA,I feel a little tight on cash right now,No,Strongly agree,5,Strongly disagree,1,2021,3,loyal,20,20,Male,35 - 44,"$10,000 - $19,999",High school graduate,Treatment
Local food bank,No,0,NA,0,NA,I am not interested in a $0.75 cents donation. I would rather give a larger amount all at once and I'm also interested in being able to claim the tax benefit for myself,No,Strongly agree,5,Strongly disagree,1,2021,3,loyal,300,300,Male,25 - 34,"$100,000 - $149,999",4 year degree,Control
Partners in Health,No,0,NA,0,NA,"I already give $20/month every month, I don't feel the need to give additional sums at random times.",No,Agree,4,Strongly disagree,1,2021,3,loyal,240,240,Female,25 - 34,"$60,000 - $69,999",4 year degree,Treatment
Humane Society of Wilkes,No,0,NA,0,NA,I have already donated for the year,No,Agree,4,Disagree,2,2020,3,nonloyal,100,100,Female,45 - 54,"$40,000 - $49,999",2 year degree,Treatment
Salvation Army,Yes,1,0.4,0.4,I chose to give because it makes me feel good and it is the right thing to do.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,3,loyal,5,5,Female,25 - 34,"$20,000 - $29,999",4 year degree,Treatment
Compassion International,No,0,NA,0,NA,I already donate $76 a month,No,Agree,4,Neither agree nor disagree,3,2021,4,loyal,600,600,Female,25 - 34,"$50,000 - $59,999",2 year degree,Treatment
the puerto rican dog fund,Yes,1,0.5,0.5,i want to help,NA,NA,Strongly agree,5,Strongly disagree,1,2019,1,nonloyal,25,25,Female,35 - 44,"$60,000 - $69,999",4 year degree,Treatment
United Way,No,0,NA,0,NA,Because I was not sure about whether they would be given the amount,No,Strongly agree,5,Strongly disagree,1,2021,3,loyal,10,10,Male,25 - 34,"$20,000 - $29,999",4 year degree,Treatment
Planned parenthood,Yes,1,0.5,0.5,They need it more than I do.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,2,nonloyal,20,20,Male,35 - 44,"$80,000 - $89,999",Some college,Control
Red Cross,No,0,NA,0,NA,Because I already donated this quarter,No,Strongly agree,5,Strongly disagree,1,2021,5,loyal,250,250,Male,25 - 34,"$60,000 - $69,999",4 year degree,Control
Michigan Pitbull Education Project,No,0,NA,0,NA,"I am set up for monthly auto-donate with them, and it is the best I can do for now",No,Strongly agree,5,Strongly disagree,1,2021,3,loyal,120,120,Female,55 - 64,"$30,000 - $39,999",4 year degree,Control
Emergency Food Network,No,0,NA,0,NA,A fraction of 25 cents won't do them much good. It would probably cost them more in payment processing fees.,No,Agree,4,Disagree,2,2021,1,nonloyal,100 and volunteer work,100,Female,35 - 44,"Less than $10,000",4 year degree,Control
Children's Mercy Hospital,Yes,1,0.5,0.5,"They're a great hospital, and we have a family connection there.",NA,NA,Agree,4,Strongly disagree,1,2021,3,loyal,75,75,Female,35 - 44,"More than $150,000",Professional degree,Treatment
ACLU,Yes,1,0.3,0.3,I believe in supporting their mission and understand that with Covid times are difficult,NA,NA,Strongly agree,5,Strongly disagree,1,2018,2,nonloyal,50,50,Female,25 - 34,"$10,000 - $19,999",Professional degree,Control
Animal rescue,No,0,NA,0,NA,I will give myself when it is time.,No,Strongly agree,5,Strongly disagree,1,2021,5,loyal,250,250,Female,65 - 74,"$90,000 - $99,999",4 year degree,Control
Latter-day Saint Charities,Yes,1,0.5,0.5,100% of what they receive goes to help the less fortunate and those going through disasters,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,1000,1000,Male,45 - 54,"More than $150,000",4 year degree,Treatment
McKamey Animal Shelter,Yes,1,0.5,0.5,"I think that it's important to support charities, even moreso during times of difficulty, as they provide hope.",NA,NA,Strongly agree,5,Strongly disagree,1,2020,3,nonloyal,100,100,Male,35 - 44,"$40,000 - $49,999",4 year degree,Control
St. Jude,Yes,1,0.2,0.2,They do a lot of important work and I think they deserve it.,NA,NA,Strongly agree,5,Strongly disagree,1,2019,1,nonloyal,20,20,Male,25 - 34,"Less than $10,000",High school graduate,Treatment
American Red Cross,Yes,1,0.4,0.4,It makes me happy.,NA,NA,Strongly agree,5,Strongly disagree,1,2020,1,nonloyal,50,50,Female,45 - 54,"$70,000 - $79,999",Professional degree,Control
Kiva,Yes,1,0.5,0.5,"It's a good organization and they could leverage that money, however small initially, and do better work with it given their infrastructure and reach than I will do with it.",NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,50,50,Male,35 - 44,"$70,000 - $79,999",Professional degree,Treatment
Mont Vernon Library Charitable Foundation,No,0,NA,0,NA,"I have already donated $2,000 to them recently.",No,Strongly agree,5,Strongly disagree,1,2021,4,loyal,1000,1000,Male,55 - 64,"More than $150,000",4 year degree,Control
St. Philips Episcopal Church,Yes,1,0.5,0.5,They do good work and help and the community,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,6000,6000,Female,55 - 64,"More than $150,000",4 year degree,Control
Greenpeace,Yes,1,0.1,0.1,Because I really appreciate volunteers and organisations dedicated to help others.,NA,NA,Agree,4,Strongly disagree,1,2021,5,loyal,40,40,Female,18 - 24,"$10,000 - $19,999",4 year degree,Treatment
Compassion International,Yes,1,0.3,0.3,"I already give, so why not give a bit more?",NA,NA,Agree,4,Strongly disagree,1,2021,5,loyal,1000,1000,Female,35 - 44,"More than $150,000",Professional degree,Control
Goodwill,Yes,1,0.2,0.2,It makes me feel happy to help others.,NA,NA,Agree,4,Disagree,2,2021,5,loyal,100,100,Female,45 - 54,"$60,000 - $69,999",4 year degree,Treatment
Student Loan Justice.org,Yes,1,0.5,0.5,This organization is fighting for the millions of Americans with student loans because we lack bankruptcy rights and statue of limitations and are subject to widespread abuse by lenders.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,200,200,Female,55 - 64,"Less than $10,000",Doctorate,Control
SPCA,Yes,1,0.5,0.5,Because I like them and it is money well spent.,NA,NA,Agree,4,Disagree,2,2021,5,loyal,200,200,Male,35 - 44,"$70,000 - $79,999",4 year degree,Control
St. Judes Children's,Yes,1,0.5,0.5,This money was easy for me to earn. It makes me feel good that I can use my energy to support this cause.,NA,NA,Agree,4,Strongly disagree,1,2019,2,nonloyal,.5.00,500,Female,65 - 74,"$20,000 - $29,999",2 year degree,Treatment
second harvest food bank,No,0,NA,0,NA,I just gave them money,No,Agree,4,Strongly disagree,1,2021,2,nonloyal,100,100,Male,45 - 54,"$70,000 - $79,999",4 year degree,Control
March of Dimes,No,0,NA,0,NA,I want to do it on my own terms,No,Strongly agree,5,Disagree,2,2021,5,loyal,20,20,Female,45 - 54,"$50,000 - $59,999",Professional degree,Control
American Humane,Yes,1,0.1,0.1,I believe that this charity is a worthwhile cause that benefits a lot of communities.,NA,NA,Agree,4,Disagree,2,2019,1,nonloyal,10,10,Male,18 - 24,"$40,000 - $49,999",Some college,Treatment
Bowling for Rhinos (AAZK),No,0,NA,0,NA,Because you'd have a hard time finding the specific chapter I donate to.,No,Strongly agree,5,Strongly disagree,1,2019,3,nonloyal,Around 100$,100,Female,25 - 34,"$100,000 - $149,999",4 year degree,Control
Ballet Theatre of Maryland,Yes,1,0.5,0.5,"I know they need the money right now, and will use it well.",NA,NA,Agree,4,Disagree,2,2021,1,nonloyal,not sure,NA,Male,35 - 44,"$20,000 - $29,999",Professional degree,Control
St Jude,No,0,NA,0,NA,Low on funds,No,Strongly agree,5,Strongly disagree,1,2021,1,nonloyal,15,15,Female,25 - 34,"$70,000 - $79,999",Professional degree,Treatment
Red Cross,Yes,1,0.3,0.3,"Red cross does good work, and I'm happy to help support them.",NA,NA,Agree,4,Disagree,2,2020,1,nonloyal,50,50,Male,45 - 54,"$90,000 - $99,999",Professional degree,Treatment
Alcoholics Anonymous,Yes,1,0.5,0.5,AA is a program that helps many people.,NA,NA,Strongly agree,5,Strongly disagree,1,2019,3,nonloyal,250,250,Female,55 - 64,"$60,000 - $69,999",Some college,Control
Meals on Wheels,Yes,1,0.5,0.5,This organization does a great amount of good work in helping seniors get the food they need as well as providing support for them.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,3,loyal,100,100,Female,55 - 64,"$30,000 - $39,999",2 year degree,Control
Small Miracles Therapeutic Riding Center,Yes,1,0.5,0.5,I think the work they do is great for the special needs community and for the veterans.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,3,loyal,25,25,Female,45 - 54,"$40,000 - $49,999",High school graduate,Control
Birmingham humane society,Yes,1,0.3,0.3,They need the funds,NA,NA,Strongly agree,5,Strongly disagree,1,2021,3,loyal,25,25,Male,35 - 44,"$70,000 - $79,999",4 year degree,Control
IJM,No,0,NA,0,NA,I already donate to charity and I'm on here to make money,No,Agree,4,Strongly disagree,1,2021,3,loyal,50,50,Female,35 - 44,"$10,000 - $19,999",4 year degree,Treatment
Doctors Without Borders,No,0,NA,0,NA,My payment isn't that much to begin with.,No,Strongly agree,5,Strongly disagree,1,2021,1,nonloyal,10,10,Male,25 - 34,"$10,000 - $19,999",2 year degree,Treatment
SALVATION ARMY,No,0,NA,0,NA,I DONATE CLOTHING AND FURINISHING TO THEM REGUALARY,No,Strongly agree,5,Strongly disagree,1,2021,3,loyal,300,300,Female,45 - 54,"$60,000 - $69,999",Some college,Control
Compassion International,No,0,NA,0,NA,I already give monthly to this charity.,No,Strongly agree,5,Strongly disagree,1,2021,5,loyal,500,500,Male,35 - 44,"$50,000 - $59,999",Professional degree,Treatment
special olympics,Yes,1,0.1,0.1,because it felt right,NA,NA,Neither agree nor disagree,3,Neither agree nor disagree,3,2021,3,loyal,20 dollars,20,Male,25 - 34,"$40,000 - $49,999",Professional degree,Treatment
Humane Society,No,0,NA,0,NA,I will donate directly,No,Agree,4,Disagree,2,2020,2,nonloyal,50,50,Female,18 - 24,"$30,000 - $39,999",Some college,Treatment
Food Bank of Central & Eastern North Carolina,Yes,1,0.5,0.5,"The Food Bank is a charity that I support, that I believe in and it is needed more than ever for many in my community.",NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,350,350,Female,55 - 64,"$70,000 - $79,999",Professional degree,Control
RAICES,Yes,1,0.5,0.5,they help immigrants get out of private prison cages,NA,NA,Agree,4,Disagree,2,2021,3,loyal,100,100,Female,55 - 64,"$30,000 - $39,999",Professional degree,Treatment
St Judes,Yes,1,0.1,0.1,I believe in St. Judes. I believe they are doing great things for the children there!,NA,NA,Strongly agree,5,Strongly disagree,1,2021,3,loyal,500,500,Female,25 - 34,"$50,000 - $59,999",2 year degree,Treatment
Barrow Neurological Foundation,Yes,1,0.5,0.5,was a patient at Barrow and had neurosurgery there,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,125,125,Female,65 - 74,"$60,000 - $69,999",4 year degree,Control
North Texas Food Bank,Yes,1,0.1,0.1,I feel guilty right now and I don't have much disposable income.,NA,NA,Strongly agree,5,Disagree,2,2018,1,nonloyal,1,1,Female,18 - 24,"$10,000 - $19,999",Some college,Treatment
red cross,No,0,NA,0,NA,Because I like to donate on my own terms or when there is a specific need,No,Agree,4,Strongly disagree,1,2021,4,loyal,100,100,Female,35 - 44,"$80,000 - $89,999",2 year degree,Treatment
Dana Farber,Yes,1,0.1,0.1,To give back to community.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,2,nonloyal,100,100,Female,35 - 44,"$20,000 - $29,999",4 year degree,Control
Planned Parenthood,No,0,NA,0,NA,Right now I'm saving any extra money I earn to pay off a debt.,No,Strongly agree,5,Disagree,2,2019,2,nonloyal,25,25,Female,35 - 44,"$10,000 - $19,999",2 year degree,Control
American Cancer Society,No,0,NA,0,NA,I am doing surveys for money so I'm clearly struggling to make ends meet atm,No,Agree,4,Strongly disagree,1,2018,1,nonloyal,200,200,Male,35 - 44,"Less than $10,000",Some college,Treatment
American Red Cross,Yes,1,0.2,0.2,"Because the Red Cross saves lives, including the life of my husband.",NA,NA,Neither agree nor disagree,3,Strongly disagree,1,2021,5,loyal,50,50,Female,55 - 64,"More than $150,000",Professional degree,Control
World Central Kitchen,Yes,1,0.5,0.5,I support their mission. I am willing to sacrifice what I have so they can help the hungry and provide humanitarian efforts.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,300,300,Female,35 - 44,"More than $150,000",4 year degree,Treatment
Out of the dark,Yes,1,0.5,0.5,My son committed suicide and I want to help other people,NA,NA,Agree,4,Strongly disagree,1,2019,1,nonloyal,20,20,Female,55 - 64,"$50,000 - $59,999",High school graduate,Treatment
Make a Wish,No,0,NA,0,NA,I have already given this year,No,Agree,4,Disagree,2,2021,5,loyal,100,100,Male,55 - 64,"$30,000 - $39,999",2 year degree,Treatment
St Judes,Yes,1,0.5,0.5,"Because even though I'm hard off on money, the children and their families are in a much more dire situation",NA,NA,Strongly agree,5,Neither agree nor disagree,3,2021,5,loyal,50,50,Female,25 - 34,"$10,000 - $19,999",Some college,Treatment
Children's Hospital Colorado,Yes,1,0.2,0.2,Because I'd feel bad not giving at least a little,NA,NA,Strongly agree,5,Strongly disagree,1,2021,1,nonloyal,50,50,Female,25 - 34,"$100,000 - $149,999",Professional degree,Control
Kyani,No,0,NA,0,NA,I have already donated to them and I don't feel like donating to them right now.,No,Agree,4,Disagree,2,2021,3,loyal,50,50,Male,25 - 34,"$80,000 - $89,999",4 year degree,Treatment
Mid Florida Sheltie Rescue,Yes,1,0.5,0.5,I love dogs and I know many of the rescues are having a difficult time during the Pandemic. I give as much as I can so I am happy to give them the highest amount I can.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,200,200,Female,65 - 74,"$30,000 - $39,999",Some college,Treatment
rescue mission,Yes,1,0.5,0.5,homeless people need the most help,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,25,25,Female,45 - 54,"Less than $10,000",Some college,Treatment
Goodwill,No,0,NA,0,NA,I already give to Goodwill so didnt feel the need to give more.,Yes,Strongly agree,5,Strongly disagree,1,2021,5,loyal,200,200,Female,35 - 44,"$30,000 - $39,999",High school graduate,Control
Planned Parenthood,No,0,NA,0,NA,I need the money currently.,No,Agree,4,Disagree,2,2019,3,nonloyal,25,25,Female,35 - 44,"Less than $10,000",4 year degree,Control
Operation Christmas Child,No,0,NA,0,NA,I do it at the end of the year with my family.,No,Neither agree nor disagree,3,Strongly disagree,1,2021,4,loyal,600,600,Male,35 - 44,"$30,000 - $39,999",4 year degree,Control
Doctors without Borders,No,0,NA,0,NA,"I am supplementing my own cash at this time, so that I can give more freely again at a future date.",No,Strongly agree,5,Strongly disagree,1,2021,5,loyal,100,100,Female,35 - 44,"$70,000 - $79,999",4 year degree,Control
saint jude,Yes,1,0.1,0.1,because I believe in the cause,NA,NA,Strongly agree,5,Strongly disagree,1,2019,2,nonloyal,10,10,Female,25 - 34,"$30,000 - $39,999",Some college,Treatment
Make A Wish,Yes,1,0.5,0.5,Because I don't need the money and it is a good cause.,NA,NA,Agree,4,Strongly disagree,1,2021,5,loyal,100,100,Male,35 - 44,"More than $150,000",4 year degree,Control
Doctors without Borders,Yes,1,0.5,0.5,I support the charity,NA,NA,Strongly agree,5,Strongly disagree,1,2021,4,loyal,500,500,Female,45 - 54,"$80,000 - $89,999",2 year degree,Treatment
voice of the martyrs,Yes,1,0.3,0.3,a good cause,NA,NA,Strongly agree,5,Strongly disagree,1,2021,4,loyal,250,250,Male,75 - 84,"$40,000 - $49,999",Professional degree,Treatment
Salvation Army,Yes,1,0.5,0.5,Programs are so in need at this time. I'd want to help as much as I could.,NA,NA,Strongly agree,5,Strongly disagree,1,2019,3,nonloyal,50,50,Male,35 - 44,"$90,000 - $99,999",Professional degree,Control
Little Rock Animal Village,No,0,NA,0,NA,I don't have extra money right now.,No,Neither agree nor disagree,3,Neither agree nor disagree,3,2019,1,nonloyal,50,50,Female,35 - 44,"$60,000 - $69,999",4 year degree,Treatment
Child's Play,Yes,1,0.2,0.2,Child's Play helps kids feel good during the worst times of their lives.,NA,NA,Strongly agree,5,Disagree,2,2021,2,nonloyal,50,50,Male,25 - 34,"Less than $10,000",Professional degree,Control
National Wildlife Federation,No,0,NA,0,NA,I give my way,No,Agree,4,Strongly disagree,1,2021,1,nonloyal,50,50,Male,45 - 54,"More than $150,000",4 year degree,Control
Planned Parenthood,No,0,NA,0,NA,"Because you should just pay me my money and I'll donate it and get the tax credit for it. Plus, I trust Planned Parenthood, but I don't trust you or any other anonymous third party that says they will donate on my behalf.",No,Strongly agree,5,Strongly disagree,1,2021,5,loyal,50,50,Female,35 - 44,"$80,000 - $89,999",4 year degree,Control
St. Jude,Yes,1,0.2,0.2,Because I really appreciate the work they do for children and their families and generally donate to them whenever I can.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,4,loyal,10,10,Female,25 - 34,"$20,000 - $29,999",Some college,Treatment
Campus Crusade for Christ,Yes,1,0.5,0.5,Because I believe in what they are doing,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,900,900,Male,75 - 84,"$40,000 - $49,999",Some college,Control
jewish federation,No,0,NA,0,NA,I prefer to give directly and get tax receipts,No,Agree,4,Strongly disagree,1,2021,4,loyal,100,100,Female,45 - 54,"$70,000 - $79,999",Some college,Treatment
Isla Animals,No,0,NA,0,NA,"I am not ready to at this time, and I would like to donate a larger amount.",No,Agree,4,Disagree,2,2020,3,nonloyal,25,25,Male,65 - 74,"$10,000 - $19,999",Some college,Treatment
Meals on Wheels,No,0,NA,0,NA,I already donated recently.,No,Strongly agree,5,Disagree,2,2021,3,loyal,100,100,Male,45 - 54,"$40,000 - $49,999",High school graduate,Treatment
torres community shelter,No,0,NA,0,NA,it's easier to donate in person,No,Neither agree nor disagree,3,Disagree,2,2021,4,loyal,25,25,Male,25 - 34,"$10,000 - $19,999",Some college,Control
St. Judes Children's Hospital,Yes,1,0.1,0.1,I want to help sick children get better.,NA,NA,Strongly agree,5,Strongly disagree,1,2020,3,nonloyal,25,25,Female,65 - 74,"$20,000 - $29,999",4 year degree,Treatment
WWF,No,0,NA,0,NA,I already did a month ago for Christmas.,No,Strongly agree,5,Strongly disagree,1,2021,2,nonloyal,75,75,Female,35 - 44,"$40,000 - $49,999",4 year degree,Control
St. Jude's,No,0,NA,0,NA,not enough money right now,No,Agree,4,Disagree,2,2019,2,nonloyal,50,50,Female,25 - 34,"$10,000 - $19,999",Professional degree,Control
Wisconsin Humane Society,No,0,NA,0,NA,I already give automatically every month.,No,Agree,4,Disagree,2,2021,5,loyal,300,300,Female,75 - 84,"$20,000 - $29,999",4 year degree,Treatment
American Cancer Society,Yes,1,0.1,0.1,"I feel like it isn't much, but hopefully every little bit can help.",NA,NA,Strongly agree,5,Strongly disagree,1,2021,1,nonloyal,25,25,Male,35 - 44,"$50,000 - $59,999",4 year degree,Control
Magnolia Volunteer Fire Company,No,0,NA,0,NA,"I give enough in my own life, not on Prolific for donations.",No,Strongly agree,5,Strongly disagree,1,2021,5,loyal,185,185,Male,45 - 54,"More than $150,000",Professional degree,Treatment
North Shore Animal League,Yes,1,0.3,0.3,I still support the charity,NA,NA,Agree,4,Strongly disagree,1,2020,4,nonloyal,200,200,Male,45 - 54,"$100,000 - $149,999",4 year degree,Control
st jude,Yes,1,0.5,0.5,they are a solid organization who i know have helped people dramatically.,NA,NA,Agree,4,Strongly disagree,1,2019,2,nonloyal,confidential,NA,Female,45 - 54,"$20,000 - $29,999",4 year degree,Treatment
National MS Society,No,0,NA,0,NA,"I already make yearly donations to the charity, I would rather keep any money received.",No,Neither agree nor disagree,3,Strongly disagree,1,2021,5,loyal,100,100,Male,25 - 34,"$40,000 - $49,999",4 year degree,Control
ASPCA,No,0,NA,0,NA,I would rather give more directly.,No,Agree,4,Strongly disagree,1,2021,2,nonloyal,25,25,Female,25 - 34,"$80,000 - $89,999",Some college,Control
planned parenthood,No,0,NA,0,NA,i am not able to make donations at this time,No,Strongly agree,5,Strongly disagree,1,2020,2,nonloyal,50,50,Female,25 - 34,"$40,000 - $49,999",Some college,Treatment
Feed america,Yes,1,0.5,0.5,To help hungry children,NA,NA,Agree,4,Disagree,2,2019,2,nonloyal,100,100,Male,35 - 44,"$20,000 - $29,999",Some college,Treatment
UNICEF USA,Yes,1,0.2,0.2,"Want to help support their mission and every little bit helps, willing to give what I can since I know how important it is and how hard it is to have nothing.",NA,NA,Agree,4,Strongly disagree,1,2021,1,nonloyal,10,10,Female,35 - 44,"$60,000 - $69,999",4 year degree,Treatment
Humane Society,No,0,NA,0,NA,Because I did not think it was necessary to give at this time.,No,Agree,4,Strongly disagree,1,2019,1,nonloyal,25,25,Male,65 - 74,"$40,000 - $49,999",Professional degree,Control
Love Fund,Yes,1,0.5,0.5,"Because I've seen it work, I've seen the difference it makes and I want to help.",NA,NA,Agree,4,Strongly disagree,1,2021,2,nonloyal,200,200,Male,45 - 54,"$100,000 - $149,999",4 year degree,Control
St. Jude,No,0,NA,0,NA,I will give when I'm ready,No,Agree,4,Disagree,2,2021,2,nonloyal,100,100,Female,45 - 54,"More than $150,000",Professional degree,Treatment
Mountain Emergency Animal Center,Yes,1,0.5,0.5,Because they genuinely care about their jobs and the animals.,NA,NA,Agree,4,Disagree,2,2021,1,nonloyal,"I only gave once, this year, 2022 and it was 70$",70,Female,25 - 34,"$20,000 - $29,999",Some college,Treatment
Camp Good Days and Special times,No,0,NA,0,NA,I need the money myself right now.,No,Agree,4,Strongly disagree,1,2021,4,loyal,5,5,Female,35 - 44,"$20,000 - $29,999",Some college,Treatment
